Ost;Nord
1273908;6522190
1273908;6522190
1230261;6537806
1411674;6492915
1339809;6732488
1326628;6364587
1230261;6537806
1224502;6540088
1230261;6537806
1230261;6537806
1224502;6540088
1224502;6540088
1224502;6540088
1421872;7163712
1444340;6550090
1438533;6540543
1676592;7167741
1714931;7459225
1715452;7458909
1755773;7508313
1737104;7111394
1298605;6233501
1793907;7457628
1644626;7310728
1598831;6636876
1503364;7189458
1481869;6610928
1636069;7107477
1458138;7245686
1528021;7150874
1639274;7105079
1761564;7225221
1537193;7135561
1539816;7136008
1543861;7208639
1530216;7139431
1357552;6882702
1359571;6588400
1327478;6400085
1346303;6682985
1713602;7093526
1712960;7096598
1402126;6578120
1541361;7208703
1549679;7214328
1628473;6603485
1490075;6944423
1489957;6944448
1509385;6907355
1490028;6944463
1502270;6912626
1517792;6911481
1533289;6904114
1562131;6950419
1576326;6929758
1489232;6942295
1562102;6950344
1490075;6944423
1500944;6923727
1576299;6929760
1623541;7587871
1622178;7588315
1359737;6587450
1342515;6794646
1245332;6546717
1245051;6546796
1247342;6547622
1622671;7588229
1624496;7587374
1368765;6630225
1629084;6597364
1621513;7588018
1359737;6587450
1359737;6587450
1620772;6558172
1620805;6558163
1748829;7415073
1489289;6942290
1621288;6558004
1609835;7097952
1738043;7111113
1677550;7077036
1683135;7139819
1368424;6345667
1682665;7074087
1411674;6492915
1411674;6492915
1674840;7059123
1674945;7058543
1767074;7497536
1673160;7060370
1582398;6649148
1604370;6634392
1696079;7052434
1452566;7305740
1450585;7308158
1762196;7158805
1716389;7328585
1724569;7322751
1524959;7381732
1533463;7287406
1543483;6912571
1360882;6878277
1357552;6882702
1357552;6882702
1357552;6882702
1357552;6882702
1352509;6876503
1346528;6879413
1574738;6727744
1500987;6938075
1447536;7179398
1562102;6950344
1664052;7178953
1230297;6525856
1647568;7486173
1594650;7327140
1565359;7037336
1771098;7496510
1510048;6312222
1771085;7496490
1540220;6859170
1370161;6468925
1675780;7153607
1419533;6981893
1314613;6943384
1715427;7084461
1609835;7097952
1675428;7154921
1581177;6727059
1666164;7165091
1375503;7000048
1607363;7096583
1424880;6625400
1375470;6578350
1448007;7220977
1330592;6948268
1660436;7102213
1366890;6588548
1496859;6304212
1344850;6966490
1675466;7084636
1665866;7127509
1328428;6961866
1328913;6960889
1327079;6955904
1674999;7058420
1673181;7060361
1444040;6584110
1676087;7057600
1339279;6954798
1271423;6379361
1873362;7342486
1712767;7392494
1736300;7336662
1644229;6563710
1634512;7531813
1702022;7173413
1449112;6579027
1873422;7342644
1675397;7058255
1771091;7496494
1466955;7296639
1695420;7389770
1707878;7452365
1607821;6645937
1701810;7086178
1405489;6246780
1726972;7097524
1694717;7391399
1873475;7342692
1501702;6659072
1366890;6588548
1366910;6588330
1724540;7086050
1317808;6889600
1317808;6889600
1366103;6587247
1318422;6889746
1561835;6668003
1619161;6591075
1559558;6657880
1559558;6657880
1536037;6608195
1346473;6457826
1346473;6457826
1558122;6651100
1366030;6776185
1558122;6651100
1574738;6727744
1285078;6452567
1618692;6609766
1656070;7154913
1507135;7121913
1449523;6901744
1589832;6709867
1454275;7330593
1584734;6933664
1585182;6933813
1467459;7297158
1448646;7307665
1369088;6585166
1516227;6355244
1672582;7043592
1635884;7000060
1432870;6323710
1600414;6637232
1628258;7103695
1255724;6429695
1330485;7019360
1338180;6980049
1779248;7160753
1652731;7179906
1651738;7090992
1652731;7179906
1686021;7125964
1451780;6575240
1679014;7133393
1656850;7178500
1324992;6255751
1619009;7591985
1333791;6942199
1682752;7168334
1712355;7135956
1707809;7136516
1351140;6908702
1315129;6946418
1289740;6632137
1312700;7028100
1464325;6739217
1714955;7378465
1363526;6346959
1398136;6362391
1365142;6330326
1539461;6701705
1387898;6370086
1466354;6727833
1386718;6408579
1263270;6499220
1328885;6433399
1298951;6402646
1318862;6943000
1359737;6587450
1325554;6942429
1325694;6941691
1320916;6942199
1313574;6944245
1313724;6944658
1314068;6944411
1318862;6943000
1328456;6962123
1328456;6962123
1328738;6961968
1328996;6960676
1320916;6942199
1320916;6942199
1318862;6943000
1320976;6942023
1317808;6889600
1315202;6946275
1320916;6942199
1320976;6942023
1255711;6429711
1321324;6941847
1359737;6587451
1711714;7089002
1361288;6806249
1325644;6942931
1619934;7590914
1812787;7562867
1711832;7088758
1812385;7576675
1590218;6716125
1712379;7088493
1812477;7576598
1584389;6977403
1554308;6940724
1633318;6980842
1575845;6651774
1620089;7588743
1777819;7160376
1633377;6980808
1799597;7501217
1454210;6933768
1624933;6567144
1736528;7112106
1667067;7094209
1565117;6937283
1660604;7102186
1277221;6395799
1607703;7097750
1596832;7090830
1608454;7094772
1599942;6628757
1689124;7104127
1661934;6563703
1619379;7147996
1312793;6373297
1366030;6776185
1712490;7096750
1642680;6618651
1642905;6618880
1470599;6978008
1661345;6563014
1501372;7094026
1537725;6991540
1448319;6906717
1449355;6901715
1537725;6991540
1449523;6901744
1465357;6896848
1618969;6608994
1618172;6604384
1451761;7307075
1637662;7003155
1325390;6940921
1321824;6941337
1621865;7588009
1342582;6961242
1344863;6967906
1351569;6895681
1452462;7217869
1468897;7220297
1439297;7224633
1312055;6950169
1339110;6956889
1343482;6962672
1478629;7207489
1617563;7595330
1480226;7015025
1457752;6579040
1301760;6488550
1351485;6522000
1637224;7004994
1500078;7169855
1548546;7125512
1803550;7283612
1392984;6341787
1582813;6720669
1408210;6384797
1386718;6408579
1285897;6439322
1369083;6687298
1357730;6706210
1637224;7004994
1350380;6720805
1589568;6721562
1613871;7462163
1441023;6588460
1320911;6418620
1320935;6418663
1587123;7465199
1390019;6282181
1350549;6527612
1673231;7060413
1603154;7593579
1603355;7100190
1331152;6947933
1673395;7044739
1592310;7119559
1349089;6953731
1618419;7591087
1369088;6585166
1748571;7107990
1773138;7312230
1468922;6235843
1344950;6875564
1685714;7103782
1497100;6884000
1531472;6278490
1531407;6278382
1531472;6278490
1531279;6278285
1267402;6403581
