Ost;Nord
1361540;6144890
1701539;6604425
1538659;6232119
1555456;6281123
1347924;6145410
1537840;6232030
1536756;6598617
1545810;6266735
1403900;6202850
1549794;6283826
1574890;6339260
1403885;6203686
1257924;6398197
1675370;6361190
1457539;6578771
1457603;6578703
1457603;6578703
1391477;6201613
1356952;6172528
1543352;6609005
1545985;6283490
1391477;6201613
1392884;6201949
1418231;6212676
1396576;6213113
1543375;6609039
1391637;6202082
1602417;6635313
1335709;6150094
1257918;6398306
1399678;6196391
1335709;6150094
1668291;6678323
1457578;6578708
1319196;6150850
1403560;6201482
1353483;6141705
1381253;6147538
1404205;6202873
1399598;6204414
1538346;6246219
1393583;6214515
1386312;6163246
1563158;6299576
1754950;7087868
1754980;7087886
1416176;6211588
1690082;6580590
1403394;6211655
1348472;6182760
1257918;6398306
1568331;6342204
1536960;6269294
1250283;6414947
1398743;6205723
1260761;6403996
1555793;6282021
1537442;6273789
1259682;6398081
1396292;6209550
1323733;6181204
1545604;6276284
1405116;6207458
1645596;6315384
1347292;6183263
1348519;6182771
1405064;6159691
1348501;6182770
1348519;6182771
1434490;6471040
1645767;6314816
1403495;6202855
1456130;6577159
1406524;6208775
1644451;6348126
1257275;6398266
1257466;6398385
1353450;6142030
1403698;6201845
1339168;6138021
1334785;6159006
1403803;6201651
1328440;6229785
1709844;6597305
1398461;6200116
1701174;6594752
1699002;6428170
1357800;6176750
1340795;6618663
1348570;6164650
1317185;6162196
1348510;6182710
1477543;6561515
1346618;6150638
1306766;6237555
1538549;6245073
1477543;6561515
1352200;6177800
1261474;6404880
1546046;6285928
1400720;6208037
1544089;6608837
1323697;6181209
1388219;6158989
1380494;6155644
1645342;6314963
1441487;6467759
1361540;6144890
1348519;6182771
1545338;6276343
1308677;6237426
1645342;6314963
1308917;6230840
1547870;6279260
1347728;6154432
1562279;6600792
1257815;6398589
1566081;6332198
1535073;6261208
1330845;6160197
1566081;6332198
1311540;6249091
1348712;6165193
1347200;6182881
1244258;6460561
1673967;6568433
1352110;6177230
1259583;6398043
1317509;6158771
1537865;6274891
1401804;6200415
1555328;6302992
1551694;6277249
1689781;6588455
1349627;6139513
1535348;6561733
1403440;6201715
1352200;6177800
1555671;6281366
1376680;6145990
1333648;6162585
1403945;6203065
1396098;6207161
1277470;6351581
1395900;6206877
1395218;6206682
1395240;6206674
1404931;6204205
1395479;6207145
1396879;6211581
1703816;6430492
1254299;6416533
1677300;6368500
1317120;6162972
1357010;6177170
1537382;6273645
1311843;6246243
1404940;6204068
1546256;6247456
1346894;6173356
1396294;6212281
1346853;6173415
1352173;6177770
1401206;6155009
1310735;6143859
1361586;6144853
1396059;6207002
1259583;6398043
1395367;6207125
1330966;6160379
1541939;6280947
1354600;6174000
1434739;6470159
1399993;6196386
1351443;6177925
1352147;6177134
1434606;6470234
1407258;6203678
1551675;6277214
1339556;6180386
1554759;6277115
1349738;6174457
1645213;6312446
1477129;6561854
1547586;6283818
1675097;6369379
1545701;6283770
1572902;6532669
1678891;6574191
1400900;6208900
1396887;6211584
1396877;6211616
1537248;6270583
1690429;6580571
1403508;6201673
1640530;6372348
1346063;6158385
1349856;6174447
1354676;6173213
1546058;6283497
1576721;6344431
1354448;6172178
1354970;6173192
1364943;6167155
1466432;6236298
1354970;6173192
1364550;6167934
1364943;6167155
1354970;6173192
1364943;6167155
1349000;6174400
1355294;6176626
1352110;6177713
1659124;6541108
1668784;6364945
1535470;6266405
1404628;6204302
1353646;6177931
1355347;6174550
1457611;6578708
1402846;6201226
1352200;6177800
1694465;6634620
1576467;6340738
1257249;6398180
